user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,parsed_date,only_date,only_time,datetime_for_sorting
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,40.0,0.0,0.0,False,2022-02-18 07:00:26,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 18/02 at 12:30PM
FREE Slots 0
PAID Slots 0","['BBMP', 'Bengaluru', 'CovidVaccine']",VaxBlr,False,2022-02-18 07:00:26,2022-02-18,07:00:26,2022-02-18 07:00:26
AMM,"Seattle, WA","Queer,ADHD,Mama brownish picture taker,wife,mama to sensory sensitive toddler,social worker,activist,SF Giants fan,another Bay Area Native taking over Seattle.",2020-02-14 07:15:44,5.0,44.0,30.0,False,2022-02-18 07:03:04,"@GovInslee @GovInslee how many children under 5 have to die for you to understand lack of access to a #CovidVaccine for kids 0-5 is a PUBLIC HEALTH ISSUE?! You’re telling people the economy is more important than the life of a https://t.co/KkT9iU7Mpk is wrong with you?Oh right, #capitalism","['CovidVaccine', 'capitalism']",Twitter for iPhone,False,2022-02-18 07:03:04,2022-02-18,07:03:04,2022-02-18 07:03:04
Dr. Kaouthar Lbiati,"Boston, MA","#BIOTECH Executive #HealthPOLICY #Globalhealth advocate, #healthTECH #MEDTECH enthusiast, Author and speaker ; Fast & Slow but Forward. Opinions are MY own !",2012-11-29 22:17:52,206.0,986.0,1630.0,False,2022-02-18 07:12:28,1-Is the clock ticking on #Moderna patent promise? 2-Activists fear South African patents could hinder vaccine production by others – ⁦@endpts⁩ News #IPrights #covidvaccine #southafricamRNA  #patent #mRNA #globalhealth #pandemictail  https://t.co/VvfZFfHU58,"['Moderna', 'IPrights', 'covidvaccine', 'southafricamRNA', 'patent', 'mRNA', 'globalhealth', 'pandemictail']",Twitter for iPhone,False,2022-02-18 07:12:28,2022-02-18,07:12:28,2022-02-18 07:12:28
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,40.0,0.0,0.0,False,2022-02-18 07:30:05,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 18/02 at 01:00PM
FREE Slots 
#COVISHIELD - Dose1:4, Dose2:2
#COVAXIN - Dose1:0, Dose2:1
PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN']",VaxBlr,False,2022-02-18 07:30:05,2022-02-18,07:30:05,2022-02-18 07:30:05
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,40.0,0.0,0.0,False,2022-02-18 07:30:16,"18-44 #URBAN #Bengaluru #CovidVaccine Availability for 18/02 at 01:00PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:855, Dose2:48
#SPUTNIKV - Dose1:29, Dose2:0","['URBAN', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'SPUTNIKV']",VaxBlr,False,2022-02-18 07:30:16,2022-02-18,07:30:16,2022-02-18 07:30:16
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,40.0,0.0,0.0,False,2022-02-18 07:30:26,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 18/02 at 01:00PM
FREE Slots 
#COVISHIELD - Dose1:10084, Dose2:154
#COVAXIN - Dose1:11, Dose2:4
PAID Slots 
#COVISHIELD - Dose1:4787, Dose2:40
#COVAXIN - Dose1:10, Dose2:10
#SPUTNIKV - Dose1:249, Dose2:1124","['BBMP', 'Bengaluru', 'CovidVaccine', 'COVISHIELD', 'COVAXIN', 'COVISHIELD', 'COVAXIN', 'SPUTNIKV']",VaxBlr,False,2022-02-18 07:30:26,2022-02-18,07:30:26,2022-02-18 07:30:26
Atlas_shrugged,Texas,La vida es bella!,2007-11-19 17:49:12,826.0,3333.0,42854.0,False,2022-02-18 07:31:18,All Cause Mortality #CovidVaccine https://t.co/a1VHzfWMRO,['CovidVaccine'],Twitter for iPad,False,2022-02-18 07:31:18,2022-02-18,07:31:18,2022-02-18 07:31:18
Kathy Young,Texas,"Advocate for:  Informed Consent, Parental Rights, Free Speech, Gun Rights, Less Government, Organic non-GMO food, 5G Truth.
END THE corrupt: Fed, CDC",2009-06-24 06:26:49,1149.0,4971.0,14647.0,False,2022-02-18 07:47:26,"left sided numbness and tingling, hemifacial spasm, tremors, joint pain, insomnia lasting 7 days at a time with no medication offering any relief. 
https://t.co/j45LVq9OVB #vaccineinjured #CovidVaccine","['vaccineinjured', 'CovidVaccine']",Twitter Web App,False,2022-02-18 07:47:26,2022-02-18,07:47:26,2022-02-18 07:47:26
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,40.0,0.0,0.0,False,2022-02-18 08:00:04,"45+ #RURAL #Bengaluru #CovidVaccine Availability for 18/02 at 01:30PM
FREE Slots 0
PAID Slots 0","['RURAL', 'Bengaluru', 'CovidVaccine']",VaxBlr,False,2022-02-18 08:00:04,2022-02-18,08:00:04,2022-02-18 08:00:04
VaxBLR,"Bengaluru, India","Hourly updates on FREE and PAID 18+ and 45+ vaccine slot availability across #Bengaluru BBMP,URBAN & RURAL",2021-06-21 08:44:34,40.0,0.0,0.0,False,2022-02-18 08:00:15,"45+ #URBAN #Bengaluru #CovidVaccine Availability for 18/02 at 01:30PM
FREE Slots 0
PAID Slots 0","['URBAN', 'Bengaluru', 'CovidVaccine']",VaxBlr,False,2022-02-18 08:00:15,2022-02-18,08:00:15,2022-02-18 08:00:15
